"","MONYEAR.x","SIZE.x","BP","difference","diffFactor"
"1","1995","A","32_7",0,"-20 - 20"
"2","1995","A","5_3",0,"-20 - 20"
"3","1995","A","32_1",34,"20 - 40"
"4","1995","A","5_1",0,"-20 - 20"
"5","1995","A","5_5",0,"-20 - 20"
"6","1995","A","32_3",1,"-20 - 20"
"7","1995","A","5_4",0,"-20 - 20"
"8","1995","A","32_5",21,"20 - 40"
"9","1995","A","32_11",0,"-20 - 20"
"10","1995","A","5_2",0,"-20 - 20"
"11","1995","A","32_8",0,"-20 - 20"
"12","1995","A","32_6",0,"-20 - 20"
"13","1995","A","32_10",0,"-20 - 20"
"14","1995","A","5_6",0,"-20 - 20"
"15","1995","A","32_4",8,"-20 - 20"
"16","1995","A","32_2",0,"-20 - 20"
"17","1995","A","32_9",15,"-20 - 20"
"18","1995","B","32_1",25,"20 - 40"
"19","1995","B","32_10",0,"-20 - 20"
"20","1995","B","5_4",0,"-20 - 20"
"21","1995","B","32_7",0,"-20 - 20"
"22","1995","B","5_1",0,"-20 - 20"
"23","1995","B","32_11",0,"-20 - 20"
"24","1995","B","32_4",1,"-20 - 20"
"25","1995","B","32_5",5,"-20 - 20"
"26","1995","B","32_2",0,"-20 - 20"
"27","1995","B","32_6",0,"-20 - 20"
"28","1995","B","5_3",0,"-20 - 20"
"29","1995","B","5_5",0,"-20 - 20"
"30","1995","B","32_9",4,"-20 - 20"
"31","1995","B","32_8",0,"-20 - 20"
"32","1995","B","5_6",0,"-20 - 20"
"33","1995","B","5_2",0,"-20 - 20"
"34","1995","B","32_3",0,"-20 - 20"
"35","1995","C","32_5",-1,"-20 - 20"
"36","1995","C","5_4",-1,"-20 - 20"
"37","1995","C","32_1",-1,"-20 - 20"
"38","1995","C","32_11",-1,"-20 - 20"
"39","1995","C","32_4",-1,"-20 - 20"
"40","1995","C","5_1",4,"-20 - 20"
"41","1995","C","32_3",-1,"-20 - 20"
"42","1995","C","32_7",-1,"-20 - 20"
"43","1995","C","5_6",-1,"-20 - 20"
"44","1995","C","5_5",-1,"-20 - 20"
"45","1995","C","32_10",-1,"-20 - 20"
"46","1995","C","5_3",-1,"-20 - 20"
"47","1995","C","32_9",-1,"-20 - 20"
"48","1995","C","5_2",0,"-20 - 20"
"49","1995","C","32_6",-1,"-20 - 20"
"50","1995","C","32_2",-1,"-20 - 20"
"51","1995","C","32_8",-1,"-20 - 20"
"52","1995","D","32_3",-1,"-20 - 20"
"53","1995","D","32_1",-1,"-20 - 20"
"54","1995","D","5_3",-1,"-20 - 20"
"55","1995","D","32_10",-1,"-20 - 20"
"56","1995","D","32_11",-1,"-20 - 20"
"57","1995","D","32_7",-1,"-20 - 20"
"58","1995","D","32_8",-1,"-20 - 20"
"59","1995","D","32_4",-1,"-20 - 20"
"60","1995","D","32_5",-1,"-20 - 20"
"61","1995","D","5_4",-1,"-20 - 20"
"62","1995","D","32_9",-1,"-20 - 20"
"63","1995","D","5_6",-1,"-20 - 20"
"64","1995","D","32_2",-1,"-20 - 20"
"65","1995","D","5_5",-1,"-20 - 20"
"66","1995","D","5_2",1,"-20 - 20"
"67","1995","D","5_1",1,"-20 - 20"
"68","1995","D","32_6",-1,"-20 - 20"
"69","1995","E","32_4",-1,"-20 - 20"
"70","1995","E","32_3",-1,"-20 - 20"
"71","1995","E","32_5",-1,"-20 - 20"
"72","1995","E","32_11",-1,"-20 - 20"
"73","1995","E","32_2",-1,"-20 - 20"
"74","1995","E","5_5",1,"-20 - 20"
"75","1995","E","32_10",-1,"-20 - 20"
"76","1995","E","32_8",-1,"-20 - 20"
"77","1995","E","32_1",-1,"-20 - 20"
"78","1995","E","5_3",0,"-20 - 20"
"79","1995","E","5_1",-1,"-20 - 20"
"80","1995","E","32_7",-1,"-20 - 20"
"81","1995","E","32_6",-1,"-20 - 20"
"82","1995","E","5_6",-1,"-20 - 20"
"83","1995","E","5_4",-1,"-20 - 20"
"84","1995","E","32_9",-1,"-20 - 20"
"85","1995","E","5_2",-1,"-20 - 20"
"86","1995","F","32_10",-2,"-20 - 20"
