MONYEAR,SIZE,AVE_STEMS,FIVE_SIZE_MONYEAR
1995,A,0,1995_A
1995,B,0,1995_B
1995,C,1,1995_C
1995,D,1,1995_D
1995,E,1,1995_E
1995,F,2,1995_F
1995,G,1,1995_G
1995,H,1,1995_H
1995,I,0,1995_I
1995,J,0,1995_J
1995,SEEDLING,2,1995_SEEDLING
1997,A,1,1997_A
1997,B,1,1997_B
1997,C,1,1997_C
1997,D,1,1997_D
1997,E,1,1997_E
1997,F,1,1997_F
1997,G,2,1997_G
1997,H,0,1997_H
1997,I,4,1997_I
1997,J,0,1997_J
1997,SEEDLING,3,1997_SEEDLING
2000,A,4,2000_A
2000,B,6,2000_B
2000,C,2,2000_C
2000,D,1,2000_D
2000,E,1,2000_E
2000,F,1,2000_F
2000,G,2,2000_G
2000,H,1,2000_H
2000,I,0,2000_I
2000,J,0,2000_J
2000,SEEDLING,3,2000_SEEDLING
2003,A,1,2003_A
2003,B,14,2003_B
2003,C,6,2003_C
2003,D,1,2003_D
2003,E,0,2003_E
2003,F,2,2003_F
2003,G,2,2003_G
2003,H,1,2003_H
2003,I,0,2003_I
2003,J,0,2003_J
2003,SEEDLING,3,2003_SEEDLING
2005,A,10,2005_A
2005,B,13,2005_B
2005,C,14,2005_C
2005,D,1,2005_D
2005,E,1,2005_E
2005,F,1,2005_F
2005,G,2,2005_G
2005,H,1,2005_H
2005,I,1,2005_I
2005,J,0,2005_J
2005,SEEDLING,3,2005_SEEDLING
2009,A,2,2009_A
2009,B,33,2009_B
2009,C,22,2009_C
2009,D,2,2009_D
2009,E,1,2009_E
2009,F,1,2009_F
2009,G,3,2009_G
2009,H,1,2009_H
2009,I,0,2009_I
2009,J,1,2009_J
2009,SEEDLING,3,2009_SEEDLING
2011,A,1,2011_A
2011,B,49,2011_B
2011,C,26,2011_C
2011,D,3,2011_D
2011,E,1,2011_E
2011,F,1,2011_F
2011,G,3,2011_G
2011,H,1,2011_H
2011,I,0,2011_I
2011,J,1,2011_J
2011,SEEDLING,3,2011_SEEDLING
2015,A,0,2015_A
2015,B,38,2015_B
2015,C,43,2015_C
2015,D,6,2015_D
2015,E,2,2015_E
2015,F,1,2015_F
2015,G,3,2015_G
2015,H,1,2015_H
2015,I,0,2015_I
2015,J,1,2015_J
2015,SEEDLING,18,2015_SEEDLING
2017,A,1,2017_A
2017,B,38,2017_B
2017,C,45,2017_C
2017,D,8,2017_D
2017,E,1,2017_E
2017,F,1,2017_F
2017,G,2,2017_G
2017,H,2,2017_H
2017,I,0,2017_I
2017,J,1,2017_J
2017,SEEDLING,11,2017_SEEDLING
2019,A,1,2019_A
2019,B,30,2019_B
2019,C,48,2019_C
2019,D,11,2019_D
2019,E,3,2019_E
2019,F,1,2019_F
2019,G,2,2019_G
2019,H,2,2019_H
2019,I,0,2019_I
2019,J,0,2019_J
2019,SEEDLING,6,2019_SEEDLING
