MONYEAR,PRES,BU,PLOT,BP,GROUPS,STEMS
1995,ABRP,5,1,5_1,B-C-D (2.6 - 15),7
1995,ABRP,5,1,5_1,E-F-G (15.1 - 30),4
1995,ABRP,5,1,5_1,H-I-J (30.1 - 40+),1
1995,ABRP,5,1,5_1,PBH (0 - 2.5),3
1995,ABRP,5,2,5_2,B-C-D (2.6 - 15),3
1995,ABRP,5,2,5_2,E-F-G (15.1 - 30),7
1995,ABRP,5,2,5_2,H-I-J (30.1 - 40+),0
1995,ABRP,5,2,5_2,PBH (0 - 2.5),3
1995,ABRP,5,3,5_3,B-C-D (2.6 - 15),0
1995,ABRP,5,3,5_3,E-F-G (15.1 - 30),4
1995,ABRP,5,3,5_3,H-I-J (30.1 - 40+),2
1995,ABRP,5,3,5_3,PBH (0 - 2.5),1
1995,ABRP,5,4,5_4,B-C-D (2.6 - 15),0
1995,ABRP,5,4,5_4,E-F-G (15.1 - 30),0
1995,ABRP,5,4,5_4,H-I-J (30.1 - 40+),1
1995,ABRP,5,4,5_4,PBH (0 - 2.5),1
1995,ABRP,5,5,5_5,B-C-D (2.6 - 15),0
1995,ABRP,5,5,5_5,E-F-G (15.1 - 30),5
1995,ABRP,5,5,5_5,H-I-J (30.1 - 40+),2
1995,ABRP,5,5,5_5,PBH (0 - 2.5),2
1995,ABRP,5,6,5_6,B-C-D (2.6 - 15),0
1995,ABRP,5,6,5_6,E-F-G (15.1 - 30),1
1995,ABRP,5,6,5_6,H-I-J (30.1 - 40+),1
1995,ABRP,5,6,5_6,PBH (0 - 2.5),3
1995,ABRP,32,1,32_1,B-C-D (2.6 - 15),25
1995,ABRP,32,1,32_1,E-F-G (15.1 - 30),0
1995,ABRP,32,1,32_1,H-I-J (30.1 - 40+),0
1995,ABRP,32,1,32_1,PBH (0 - 2.5),37
1995,ABRP,32,2,32_2,B-C-D (2.6 - 15),0
1995,ABRP,32,2,32_2,E-F-G (15.1 - 30),0
1995,ABRP,32,2,32_2,H-I-J (30.1 - 40+),0
1995,ABRP,32,2,32_2,PBH (0 - 2.5),1
1995,ABRP,32,3,32_3,B-C-D (2.6 - 15),0
1995,ABRP,32,3,32_3,E-F-G (15.1 - 30),0
1995,ABRP,32,3,32_3,H-I-J (30.1 - 40+),0
1995,ABRP,32,3,32_3,PBH (0 - 2.5),3
1995,ABRP,32,4,32_4,B-C-D (2.6 - 15),1
1995,ABRP,32,4,32_4,E-F-G (15.1 - 30),0
1995,ABRP,32,4,32_4,H-I-J (30.1 - 40+),0
1995,ABRP,32,4,32_4,PBH (0 - 2.5),11
1995,ABRP,32,5,32_5,B-C-D (2.6 - 15),5
1995,ABRP,32,5,32_5,E-F-G (15.1 - 30),0
1995,ABRP,32,5,32_5,H-I-J (30.1 - 40+),0
1995,ABRP,32,5,32_5,PBH (0 - 2.5),24
1995,ABRP,32,6,32_6,B-C-D (2.6 - 15),0
1995,ABRP,32,6,32_6,E-F-G (15.1 - 30),0
1995,ABRP,32,6,32_6,H-I-J (30.1 - 40+),0
1995,ABRP,32,6,32_6,PBH (0 - 2.5),3
1995,ABRP,32,7,32_7,B-C-D (2.6 - 15),0
1995,ABRP,32,7,32_7,E-F-G (15.1 - 30),0
1995,ABRP,32,7,32_7,H-I-J (30.1 - 40+),0
1995,ABRP,32,7,32_7,PBH (0 - 2.5),1
1995,ABRP,32,8,32_8,B-C-D (2.6 - 15),0
1995,ABRP,32,8,32_8,E-F-G (15.1 - 30),0
1995,ABRP,32,8,32_8,H-I-J (30.1 - 40+),0
1995,ABRP,32,8,32_8,PBH (0 - 2.5),1
1995,ABRP,32,9,32_9,B-C-D (2.6 - 15),4
1995,ABRP,32,9,32_9,E-F-G (15.1 - 30),0
1995,ABRP,32,9,32_9,H-I-J (30.1 - 40+),0
1995,ABRP,32,9,32_9,PBH (0 - 2.5),18
1995,ABRP,32,10,32_10,B-C-D (2.6 - 15),0
1995,ABRP,32,10,32_10,E-F-G (15.1 - 30),0
1995,ABRP,32,10,32_10,H-I-J (30.1 - 40+),0
1995,ABRP,32,10,32_10,PBH (0 - 2.5),1
1995,ABRP,32,11,32_11,B-C-D (2.6 - 15),0
1995,ABRP,32,11,32_11,E-F-G (15.1 - 30),0
1995,ABRP,32,11,32_11,H-I-J (30.1 - 40+),0
1995,ABRP,32,11,32_11,PBH (0 - 2.5),1
1996,ABRP,7,1,7_1,B-C-D (2.6 - 15),12
1996,ABRP,7,1,7_1,E-F-G (15.1 - 30),0
1996,ABRP,7,1,7_1,H-I-J (30.1 - 40+),0
1996,ABRP,7,1,7_1,PBH (0 - 2.5),18
1996,ABRP,7,2,7_2,B-C-D (2.6 - 15),12
1996,ABRP,7,2,7_2,E-F-G (15.1 - 30),0
1996,ABRP,7,2,7_2,H-I-J (30.1 - 40+),0
1996,ABRP,7,2,7_2,PBH (0 - 2.5),3
1996,ABRP,7,3,7_3,B-C-D (2.6 - 15),39
1996,ABRP,7,3,7_3,E-F-G (15.1 - 30),0
1996,ABRP,7,3,7_3,H-I-J (30.1 - 40+),0
1996,ABRP,7,3,7_3,PBH (0 - 2.5),3
1996,ABRP,7,4,7_4,B-C-D (2.6 - 15),8
1996,ABRP,7,4,7_4,E-F-G (15.1 - 30),0
1996,ABRP,7,4,7_4,H-I-J (30.1 - 40+),0
1996,ABRP,7,4,7_4,PBH (0 - 2.5),1
1996,ABRP,7,5,7_5,B-C-D (2.6 - 15),39
1996,ABRP,7,5,7_5,E-F-G (15.1 - 30),0
1996,ABRP,7,5,7_5,H-I-J (30.1 - 40+),0
1996,ABRP,7,5,7_5,PBH (0 - 2.5),6
1996,ABRP,7,6,7_6,B-C-D (2.6 - 15),23
1996,ABRP,7,6,7_6,E-F-G (15.1 - 30),0
1996,ABRP,7,6,7_6,H-I-J (30.1 - 40+),0
1996,ABRP,7,6,7_6,PBH (0 - 2.5),3
1996,ABRP,7,7,7_7,B-C-D (2.6 - 15),11
1996,ABRP,7,7,7_7,E-F-G (15.1 - 30),0
1996,ABRP,7,7,7_7,H-I-J (30.1 - 40+),0
1996,ABRP,7,7,7_7,PBH (0 - 2.5),2
