PRES,BU,PLOT,BP,meanPerPG,StdDevPG,MONYEAR,MONDATE,LASTBURNDATE,LASTBURNYEAR,,
ABRP,1,1,1_1,17.85,18.48833202,2001,8/16/2001,5/9/1996,1996,,
ABRP,1,1,1_1,13.05,18.08597887,2005,8/18/2005,7/20/2004,2004,,
ABRP,1,1,1_1,4.1,7.859958484,2007,9/6/2007,2006,2006,,
ABRP,1,1,1_1,8.3,8.31675544,2009,8/3/2009,6/5/2008,2008,,
ABRP,1,1,1_1,25.75,23.55257277,2012,8/23/2012,2011,2011,,
ABRP,1,1,1_1,19.45,19.95910292,2014,11/4/2014,2013,2013,,
ABRP,1,1,1_1,15.85,12.88522205,2017,7/31/2017,2016,2016,,
ABRP,1,2,1_2,22,24.51637476,2001,8/17/2001,5/9/1996,1996,,
ABRP,1,2,1_2,26.35,17.83336613,2005,8/18/2005,7/20/2004,2004,,
ABRP,1,2,1_2,5.8,5.708719093,2007,9/6/2007,2006,2006,,
ABRP,1,2,1_2,22.4,10.25670512,2009,8/3/2009,6/5/2008,2008,,
ABRP,1,2,1_2,28.95,26.13623216,2012,8/22/2012,2011,2011,,
ABRP,1,2,1_2,37.75,28.02606869,2014,11/6/2014,2013,2013,,
ABRP,1,2,1_2,26.15,23.54452669,2017,8/7/2017,2016,2016,,
ABRP,1,3,1_3,10.5,11.95385866,2001,8/17/2001,5/9/1996,1996,,
ABRP,1,3,1_3,16.15,18.96888033,2005,8/19/2005,7/20/2004,2004,,
ABRP,1,3,1_3,6.8,12.54297874,2007,9/10/2007,2006,2006,,
ABRP,1,3,1_3,5.75,13.14243829,2009,8/3/2009,6/5/2008,2008,,
ABRP,1,3,1_3,7.55,10.1539466,2012,8/22/2012,2011,2011,,
ABRP,1,3,1_3,9.35,9.890319563,2014,11/6/2014,2013,2013,,
ABRP,1,3,1_3,5.8,9.220115309,2017,8/8/2017,2016,2016,,
ABRP,1,4,1_4,7.85,11.64508028,2001,8/21/2001,5/9/1996,1996,,
ABRP,1,4,1_4,11.35,8.067315473,2005,8/19/2005,7/20/2004,2004,,
ABRP,1,4,1_4,2.2,1.735086832,2007,9/10/2007,2006,2006,,
ABRP,1,4,1_4,4.25,7.946366267,2009,8/3/2009,6/5/2008,2008,,
ABRP,1,4,1_4,5.55,5.808115919,2012,8/22/2012,2011,2011,,
ABRP,1,4,1_4,26.35,21.99587282,2014,11/5/2014,2013,2013,,
ABRP,1,4,1_4,19.5,10.24695077,2017,8/8/2017,2016,2016,,
ABRP,1,5,1_5,27.4,24.13209263,2001,8/21/2001,5/9/1996,1996,,
ABRP,1,5,1_5,18.31578947,17.33670682,2005,8/19/2005,7/20/2004,2004,,
ABRP,1,5,1_5,1.55,4.501169439,2007,9/12/2007,2006,2006,,
ABRP,1,5,1_5,6.6,13.22039891,2009,8/4/2009,6/5/2008,2008,,
ABRP,1,5,1_5,22.1,19.01772027,2014,11/7/2014,2013,2013,,
ABRP,1,5,1_5,13.15,10.35819025,2017,8/10/2017,2016,2016,,
ABRP,1,5,1_5,14.55,15.19513426,,(blank),2011,2011,,
ABRP,1,6,1_6,36.45,30.70140576,2001,8/22/2001,5/9/1996,1996,,
ABRP,1,6,1_6,16.25,15.24838214,2005,8/24/2005,7/20/2004,2004,,
ABRP,1,6,1_6,25.55,21.99874398,2007,9/18/2007,2006,2006,,
ABRP,1,6,1_6,13.5,12.96351155,2009,8/4/2009,6/5/2008,2008,,
ABRP,1,6,1_6,28.75,22.11661676,2014,11/5/2014,2013,2013,,
ABRP,1,6,1_6,22.6,25.10692922,2017,8/11/2017,2016,2016,,
ABRP,1,6,1_6,23.6,23.85570659,,(blank),2011,2011,,
ABRP,1,7,1_7,23.15,21.68743269,2001,8/22/2001,5/9/1996,1996,,
ABRP,1,7,1_7,24.77777778,23.09457679,2005,8/24/2005,7/20/2004,2004,,
ABRP,1,7,1_7,13.5,24.43142928,2007,9/17/2007,2006,2006,,
ABRP,1,7,1_7,16.75,16.21524624,2009,8/4/2009,6/5/2008,2008,,
ABRP,1,7,1_7,35.75,22.66895628,2014,11/5/2014,2013,2013,,
ABRP,1,7,1_7,15.5,12.55514153,2017,8/11/2017,2016,2016,,
ABRP,1,7,1_7,15.15,21.03449548,,(blank),2011,2011,,
ABRP,1,8,1_8,15.35,12.60022974,2001,8/22/2001,5/9/1996,1996,,
ABRP,1,8,1_8,10.45,12.35217858,2007,9/17/2007,2006,2006,,
ABRP,1,8,1_8,20.2,17.84022657,2009,8/4/2009,6/5/2008,2008,,
ABRP,1,8,1_8,37.75,18.81174046,2014,11/4/2014,2013,2013,,
ABRP,1,8,1_8,25.6,17.69150852,2017,8/16/2017,2016,2016,,
ABRP,1,8,1_8,12.65,12.64609363,,(blank),2011,2011,,
ABRP,1,9,1_9,29.75,22.44730672,2001,8/24/2001,5/9/1996,1996,,
ABRP,1,9,1_9,10.31578947,14.06750642,2005,8/27/2005,7/20/2004,2004,,
ABRP,1,9,1_9,8.15,11.86891118,2007,9/18/2007,2006,2006,,
ABRP,1,9,1_9,3.65,3.703128123,2009,7/30/2009,6/5/2008,2008,,
ABRP,1,9,1_9,6,7.211102551,2012,8/21/2012,2011,2011,,
ABRP,1,9,1_9,30.2,24.02761569,2014,11/4/2014,2013,2013,,
ABRP,1,9,1_9,22.75,22.8355102,2017,8/9/2017,2016,2016,,
ABRP,5,1,5_1,NA,NA,1997,8/11/1997,5/16/1996,1996,,
ABRP,5,1,5_1,52,24.30074723,2000,8/9/2000,"5/11/1999, 5/13/1999",1999,,
ABRP,5,1,5_1,38.75,23.77941392,2003,8/7/2003,5/24/2002,2002,,
ABRP,5,1,5_1,40.75,21.29214088,2005,9/12/2005,5/13/2004,2004,,
ABRP,5,1,5_1,14.6,9.538840269,2009,7/23/2009,7/22/2008,2008,,
ABRP,5,1,5_1,26.5,15.48343767,2011,10/19/2011,2010,2010,,
ABRP,5,1,5_1,41.5,17.8517285,2017,8/25/2017,2016,2016,,
ABRP,5,2,5_2,NA,NA,1997,8/11/1997,5/16/1996,1996,,
ABRP,5,2,5_2,38.75,21.32918682,2000,8/10/2000,"5/11/1999, 5/13/1999",1999,,
ABRP,5,2,5_2,21.6,15.51366121,2003,8/7/2003,5/24/2002,2002,,
ABRP,5,2,5_2,27,18.66604009,2005,9/3/2005,5/13/2004,2004,,
ABRP,5,2,5_2,12.6,9.253164466,2009,7/23/2009,7/22/2008,2008,,
ABRP,5,2,5_2,27.65,17.34866899,2011,10/24/2011,2010,2010,,
ABRP,5,2,5_2,11.3,10.41304849,2017,8/24/2017,2016,2016,,
ABRP,5,3,5_3,NA,NA,1997,8/12/1997,5/16/1996,1996,,
ABRP,5,3,5_3,38,18.87632881,2000,8/10/2000,"5/11/1999, 5/13/1999",1999,,
ABRP,5,3,5_3,51.7,34.27612335,2003,8/13/2003,5/24/2002,2002,,
ABRP,5,3,5_3,36.31578947,24.37223519,2005,9/3/2005,5/13/2004,2004,,
ABRP,5,3,5_3,11.8,7.918000811,2009,7/23/2009,7/22/2008,2008,,
ABRP,5,3,5_3,8.05,6.992288986,2011,10/24/2011,2010,2010,,
ABRP,5,3,5_3,12,10.65240274,2017,8/29/2017,2016,2016,,
ABRP,5,4,5_4,NA,NA,1997,8/12/1997,5/16/1996,1996,,
ABRP,5,4,5_4,47.5,22.56569357,2000,8/14/2000,"5/11/1999, 5/13/1999",1999,,
ABRP,5,4,5_4,44.7,25.75614388,2003,8/13/2003,5/24/2002,2002,,
ABRP,5,4,5_4,42,22.55986189,2005,9/3/2005,5/13/2004,2004,,
ABRP,5,4,5_4,21.5,12.25818738,2009,7/27/2009,7/22/2008,2008,,
ABRP,5,4,5_4,34.25,20.01808393,2011,10/24/2011,2010,2010,,
ABRP,5,4,5_4,30.85,18.63012558,2017,8/30/2017,2016,2016,,
ABRP,5,5,5_5,NA,NA,1997,8/12/1997,5/16/1996,1996,,
ABRP,5,5,5_5,41,29.09150717,2000,8/8/2000,"5/11/1999, 5/13/1999",1999,,
ABRP,5,5,5_5,24.6,26.15419862,2003,8/15/2003,5/24/2002,2002,,
ABRP,5,5,5_5,26.65,20.26216334,2005,9/12/2005,5/13/2004,2004,,
ABRP,5,5,5_5,9.9,7.792709143,2009,7/24/2009,7/22/2008,2008,,
