MONYEAR,BP,SIZE,STEMS,BU
1995,5_1,A,0,5
1995,5_1,B,0,5
1995,5_1,C,5,5
1995,5_1,D,2,5
1995,5_1,E,0,5
1995,5_1,F,2,5
1995,5_1,G,2,5
1995,5_1,H,0,5
1995,5_1,I,0,5
1995,5_1,J,1,5
1995,5_1,SEEDLING,3,5
1995,5_2,A,0,5
1995,5_2,B,0,5
1995,5_2,C,1,5
1995,5_2,D,2,5
1995,5_2,E,0,5
1995,5_2,F,3,5
1995,5_2,G,4,5
1995,5_2,H,0,5
1995,5_2,I,0,5
1995,5_2,J,0,5
1995,5_2,SEEDLING,3,5
1995,5_3,A,0,5
1995,5_3,B,0,5
1995,5_3,C,0,5
1995,5_3,D,0,5
1995,5_3,E,1,5
1995,5_3,F,3,5
1995,5_3,G,0,5
1995,5_3,H,2,5
1995,5_3,I,0,5
1995,5_3,J,0,5
1995,5_3,SEEDLING,1,5
1995,5_4,A,0,5
1995,5_4,B,0,5
1995,5_4,C,0,5
1995,5_4,D,0,5
1995,5_4,E,0,5
1995,5_4,F,0,5
1995,5_4,G,0,5
1995,5_4,H,0,5
1995,5_4,I,1,5
1995,5_4,J,0,5
1995,5_4,SEEDLING,1,5
1995,5_5,A,0,5
1995,5_5,B,0,5
1995,5_5,C,0,5
1995,5_5,D,0,5
1995,5_5,E,2,5
1995,5_5,F,3,5
1995,5_5,G,0,5
1995,5_5,H,1,5
1995,5_5,I,0,5
1995,5_5,J,1,5
1995,5_5,SEEDLING,2,5
1995,5_6,A,0,5
1995,5_6,B,0,5
1995,5_6,C,0,5
1995,5_6,D,0,5
1995,5_6,E,0,5
1995,5_6,F,1,5
1995,5_6,G,0,5
1995,5_6,H,1,5
1995,5_6,I,0,5
1995,5_6,J,0,5
1995,5_6,SEEDLING,3,5
1997,5_1,A,0,5
1997,5_1,B,3,5
1997,5_1,C,3,5
1997,5_1,D,2,5
1997,5_1,E,2,5
1997,5_1,F,3,5
1997,5_1,G,3,5
1997,5_1,H,0,5
1997,5_1,I,0,5
1997,5_1,J,1,5
1997,5_1,SEEDLING,3,5
1997,5_2,A,2,5
1997,5_2,B,0,5
1997,5_2,C,0,5
1997,5_2,D,1,5
1997,5_2,E,1,5
1997,5_2,F,1,5
1997,5_2,G,4,5
1997,5_2,H,1,5
1997,5_2,I,0,5
1997,5_2,J,0,5
1997,5_2,SEEDLING,3,5
1997,5_3,A,1,5
1997,5_3,B,0,5
1997,5_3,C,0,5
1997,5_3,D,0,5
1997,5_3,E,0,5
1997,5_3,F,0,5
1997,5_3,G,2,5
1997,5_3,H,0,5
1997,5_3,I,20,5
1997,5_3,J,0,5
1997,5_3,SEEDLING,1,5
1997,5_4,A,0,5
