PRES,BU,PLOT,BP,SIZE,SIZE(noCM),STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,GROUPS,STEMS(original)
ABRP,1,1,1_1,A (0 - 2.5),A,1,37119,2001,35194,1996,PBH (0 - 2.5),1
ABRP,1,2,1_2,A (0 - 2.5),A,0,37120,2001,35194,1996,PBH (0 - 2.5),0
ABRP,1,3,1_3,A (0 - 2.5),A,0,37120,2001,35194,1996,PBH (0 - 2.5),0
ABRP,1,4,1_4,A (0 - 2.5),A,0,37124,2001,35194,1996,PBH (0 - 2.5),0
ABRP,1,5,1_5,A (0 - 2.5),A,0,37124,2001,35194,1996,PBH (0 - 2.5),0
ABRP,1,6,1_6,A (0 - 2.5),A,0,37125,2001,35194,1996,PBH (0 - 2.5),0
ABRP,1,7,1_7,A (0 - 2.5),A,0,37125,2001,35194,1996,PBH (0 - 2.5),0
ABRP,1,8,1_8,A (0 - 2.5),A,0,37125,2001,35194,1996,PBH (0 - 2.5),0
ABRP,1,9,1_9,A (0 - 2.5),A,0,37127,2001,35194,1996,PBH (0 - 2.5),0
ABRP,1,1,1_1,A (0 - 2.5),A,0,38582,2005,38188,2004,PBH (0 - 2.5),0
ABRP,1,2,1_2,A (0 - 2.5),A,0,38582,2005,38188,2004,PBH (0 - 2.5),0
ABRP,1,3,1_3,A (0 - 2.5),A,0,38583,2005,38188,2004,PBH (0 - 2.5),0
ABRP,1,4,1_4,A (0 - 2.5),A,29,38583,2005,38188,2004,PBH (0 - 2.5),29
ABRP,1,5,1_5,A (0 - 2.5),A,4,38583,2005,38188,2004,PBH (0 - 2.5),4
ABRP,1,6,1_6,A (0 - 2.5),A,19,38588,2005,38188,2004,PBH (0 - 2.5),19
ABRP,1,7,1_7,A (0 - 2.5),A,11,38588,2005,38188,2004,PBH (0 - 2.5),11
ABRP,1,9,1_9,A (0 - 2.5),A,23,38591,2005,38188,2004,PBH (0 - 2.5),23
ABRP,1,1,1_1,A (0 - 2.5),A,2,39331,2007,2006,2006,PBH (0 - 2.5),2
ABRP,1,2,1_2,A (0 - 2.5),A,0,39331,2007,2006,2006,PBH (0 - 2.5),0
ABRP,1,3,1_3,A (0 - 2.5),A,15,39335,2007,2006,2006,PBH (0 - 2.5),15
ABRP,1,4,1_4,A (0 - 2.5),A,22,39335,2007,2006,2006,PBH (0 - 2.5),22
ABRP,1,5,1_5,A (0 - 2.5),A,13,39337,2007,2006,2006,PBH (0 - 2.5),13
ABRP,1,6,1_6,A (0 - 2.5),A,8,39343,2007,2006,2006,PBH (0 - 2.5),8
ABRP,1,7,1_7,A (0 - 2.5),A,15,39342,2007,2006,2006,PBH (0 - 2.5),15
ABRP,1,8,1_8,A (0 - 2.5),A,16,39342,2007,2006,2006,PBH (0 - 2.5),16
ABRP,1,9,1_9,A (0 - 2.5),A,5,39343,2007,2006,2006,PBH (0 - 2.5),5
ABRP,1,1,1_1,A (0 - 2.5),A,0,40028,2009,39604,2008,PBH (0 - 2.5),0
ABRP,1,2,1_2,A (0 - 2.5),A,0,40028,2009,39604,2008,PBH (0 - 2.5),0
ABRP,1,3,1_3,A (0 - 2.5),A,1,40028,2009,39604,2008,PBH (0 - 2.5),1
ABRP,1,4,1_4,A (0 - 2.5),A,0,40028,2009,39604,2008,PBH (0 - 2.5),0
ABRP,1,5,1_5,A (0 - 2.5),A,0,40029,2009,39604,2008,PBH (0 - 2.5),0
ABRP,1,6,1_6,A (0 - 2.5),A,1,40029,2009,39604,2008,PBH (0 - 2.5),1
ABRP,1,7,1_7,A (0 - 2.5),A,1,40029,2009,39604,2008,PBH (0 - 2.5),1
ABRP,1,8,1_8,A (0 - 2.5),A,0,40029,2009,39604,2008,PBH (0 - 2.5),0
ABRP,1,9,1_9,A (0 - 2.5),A,1,40024,2009,39604,2008,PBH (0 - 2.5),1
ABRP,1,1,1_1,A (0 - 2.5),A,0,41144,2012,2011,2011,PBH (0 - 2.5),0
ABRP,1,2,1_2,A (0 - 2.5),A,0,41143,2012,2011,2011,PBH (0 - 2.5),0
ABRP,1,3,1_3,A (0 - 2.5),A,1,41143,2012,2011,2011,PBH (0 - 2.5),1
ABRP,1,4,1_4,A (0 - 2.5),A,0,41143,2012,2011,2011,PBH (0 - 2.5),0
ABRP,1,5,1_5,A (0 - 2.5),A,0,41143,2012,2011,2011,PBH (0 - 2.5),0
ABRP,1,6,1_6,A (0 - 2.5),A,0,41142,2012,2011,2011,PBH (0 - 2.5),0
ABRP,1,7,1_7,A (0 - 2.5),A,0,41142,2012,2011,2011,PBH (0 - 2.5),0
ABRP,1,8,1_8,A (0 - 2.5),A,0,41144,2012,2011,2011,PBH (0 - 2.5),0
ABRP,1,9,1_9,A (0 - 2.5),A,1,41142,2012,2011,2011,PBH (0 - 2.5),1
ABRP,1,1,1_1,A (0 - 2.5),A,0,41947,2014,2013,2013,PBH (0 - 2.5),0
ABRP,1,2,1_2,A (0 - 2.5),A,0,41949,2014,2013,2013,PBH (0 - 2.5),0
ABRP,1,3,1_3,A (0 - 2.5),A,1,41949,2014,2013,2013,PBH (0 - 2.5),1
ABRP,1,4,1_4,A (0 - 2.5),A,0,41948,2014,2013,2013,PBH (0 - 2.5),0
ABRP,1,5,1_5,A (0 - 2.5),A,3,41949,2014,2013,2013,PBH (0 - 2.5),3
ABRP,1,6,1_6,A (0 - 2.5),A,0,41947,2014,2013,2013,PBH (0 - 2.5),0
ABRP,1,7,1_7,A (0 - 2.5),A,1,41948,2014,2013,2013,PBH (0 - 2.5),1
ABRP,1,8,1_8,A (0 - 2.5),A,0,41947,2014,2013,2013,PBH (0 - 2.5),0
ABRP,1,9,1_9,A (0 - 2.5),A,0,41947,2014,2013,2013,PBH (0 - 2.5),0
ABRP,1,1,1_1,A (0 - 2.5),A,0,42947,2017,2016,2016,PBH (0 - 2.5),0
ABRP,1,2,1_2,A (0 - 2.5),A,0,42954,2017,2016,2016,PBH (0 - 2.5),0
ABRP,1,3,1_3,A (0 - 2.5),A,1,42955,2017,2016,2016,PBH (0 - 2.5),1
ABRP,1,4,1_4,A (0 - 2.5),A,0,42955,2017,2016,2016,PBH (0 - 2.5),0
ABRP,1,5,1_5,A (0 - 2.5),A,0,42957,2017,2016,2016,PBH (0 - 2.5),0
ABRP,1,6,1_6,A (0 - 2.5),A,0,42958,2017,2016,2016,PBH (0 - 2.5),0
ABRP,1,7,1_7,A (0 - 2.5),A,0,42958,2017,2016,2016,PBH (0 - 2.5),0
ABRP,1,8,1_8,A (0 - 2.5),A,0,42962,2017,2016,2016,PBH (0 - 2.5),0
ABRP,1,9,1_9,A (0 - 2.5),A,0,42956,2017,2016,2016,PBH (0 - 2.5),0
ABRP,5,1,5_1,A (0 - 2.5),A,0,34887,1995,34067,1993,PBH (0 - 2.5),0
ABRP,5,2,5_2,A (0 - 2.5),A,0,34887,1995,34067,1993,PBH (0 - 2.5),0
ABRP,5,3,5_3,A (0 - 2.5),A,0,34898,1995,34067,1993,PBH (0 - 2.5),0
ABRP,5,4,5_4,A (0 - 2.5),A,0,34897,1995,34067,1993,PBH (0 - 2.5),0
ABRP,5,5,5_5,A (0 - 2.5),A,0,34885,1995,34067,1993,PBH (0 - 2.5),0
ABRP,5,6,5_6,A (0 - 2.5),A,0,34892,1995,34067,1993,PBH (0 - 2.5),0
ABRP,5,1,5_1,A (0 - 2.5),A,0,35653,1997,35201,1996,PBH (0 - 2.5),0
ABRP,5,2,5_2,A (0 - 2.5),A,2,35653,1997,35201,1996,PBH (0 - 2.5),2
ABRP,5,3,5_3,A (0 - 2.5),A,1,35654,1997,35201,1996,PBH (0 - 2.5),1
ABRP,5,4,5_4,A (0 - 2.5),A,0,35654,1997,35201,1996,PBH (0 - 2.5),0
ABRP,5,5,5_5,A (0 - 2.5),A,1,35654,1997,35201,1996,PBH (0 - 2.5),1
ABRP,5,6,5_6,A (0 - 2.5),A,2,35654,1997,35201,1996,PBH (0 - 2.5),2
ABRP,5,1,5_1,A (0 - 2.5),A,9,36747,2000,"5/11/1999, 5/13/1999",1999,PBH (0 - 2.5),9
ABRP,5,2,5_2,A (0 - 2.5),A,7,36747,2000,"5/11/1999, 5/13/1999",1999,PBH (0 - 2.5),7
ABRP,5,3,5_3,A (0 - 2.5),A,0,36748,2000,"5/11/1999, 5/13/1999",1999,PBH (0 - 2.5),0
ABRP,5,4,5_4,A (0 - 2.5),A,0,36752,2000,"5/11/1999, 5/13/1999",1999,PBH (0 - 2.5),0
ABRP,5,5,5_5,A (0 - 2.5),A,0,36742,2000,"5/11/1999, 5/13/1999",1999,PBH (0 - 2.5),0
ABRP,5,6,5_6,A (0 - 2.5),A,5,36746,2000,"5/11/1999, 5/13/1999",1999,PBH (0 - 2.5),5
ABRP,5,1,5_1,A (0 - 2.5),A,1,37840,2003,37400,2002,PBH (0 - 2.5),1
ABRP,5,2,5_2,A (0 - 2.5),A,2,37840,2003,37400,2002,PBH (0 - 2.5),2
ABRP,5,3,5_3,A (0 - 2.5),A,0,37846,2003,37400,2002,PBH (0 - 2.5),0
ABRP,5,4,5_4,A (0 - 2.5),A,0,37875,2003,37400,2002,PBH (0 - 2.5),0
ABRP,5,5,5_5,A (0 - 2.5),A,0,37881,2003,37400,2002,PBH (0 - 2.5),0
ABRP,5,6,5_6,A (0 - 2.5),A,0,37887,2003,37400,2002,PBH (0 - 2.5),0
ABRP,5,4,5_4,A (0 - 2.5),A,18,38598,2005,38120,2004,PBH (0 - 2.5),18
ABRP,5,3,5_3,A (0 - 2.5),A,1,38598,2005,38120,2004,PBH (0 - 2.5),1
ABRP,5,2,5_2,A (0 - 2.5),A,3,38598,2005,38120,2004,PBH (0 - 2.5),3
ABRP,5,6,5_6,A (0 - 2.5),A,7,38607,2005,38120,2004,PBH (0 - 2.5),7
ABRP,5,5,5_5,A (0 - 2.5),A,22,38607,2005,38120,2004,PBH (0 - 2.5),22
ABRP,5,1,5_1,A (0 - 2.5),A,8,38607,2005,38120,2004,PBH (0 - 2.5),8
ABRP,5,1,5_1,A (0 - 2.5),A,7,40017,2009,39651,2008,PBH (0 - 2.5),7
ABRP,5,2,5_2,A (0 - 2.5),A,2,40017,2009,39651,2008,PBH (0 - 2.5),2
ABRP,5,3,5_3,A (0 - 2.5),A,0,40017,2009,39651,2008,PBH (0 - 2.5),0
ABRP,5,4,5_4,A (0 - 2.5),A,1,40021,2009,39651,2008,PBH (0 - 2.5),1
ABRP,5,5,5_5,A (0 - 2.5),A,1,40018,2009,39651,2008,PBH (0 - 2.5),1
ABRP,5,6,5_6,A (0 - 2.5),A,1,40017,2009,39651,2008,PBH (0 - 2.5),1
ABRP,5,1,5_1,A (0 - 2.5),A,5,40812,2011,2010,2010,PBH (0 - 2.5),5
ABRP,5,2,5_2,A (0 - 2.5),A,0,40813,2011,2010,2010,PBH (0 - 2.5),0
ABRP,5,3,5_3,A (0 - 2.5),A,0,40813,2011,2010,2010,PBH (0 - 2.5),0
ABRP,5,4,5_4,A (0 - 2.5),A,0,40813,2011,2010,2010,PBH (0 - 2.5),0
ABRP,5,5,5_5,A (0 - 2.5),A,0,40814,2011,2010,2010,PBH (0 - 2.5),0
ABRP,5,6,5_6,A (0 - 2.5),A,3,40814,2011,2010,2010,PBH (0 - 2.5),3
ABRP,5,1,5_1,A (0 - 2.5),A,0,42251,2015,2013,2013,PBH (0 - 2.5),0
ABRP,5,2,5_2,A (0 - 2.5),A,0,42258,2015,2014,2014,PBH (0 - 2.5),0
ABRP,5,3,5_3,A (0 - 2.5),A,0,42256,2015,2014,2014,PBH (0 - 2.5),0
ABRP,5,4,5_4,A (0 - 2.5),A,0,42258,2015,2014,2014,PBH (0 - 2.5),0
ABRP,5,5,5_5,A (0 - 2.5),A,1,42245,2015,2014,2014,PBH (0 - 2.5),1
ABRP,5,6,5_6,A (0 - 2.5),A,0,42247,2015,2014,2014,PBH (0 - 2.5),0
ABRP,5,1,5_1,A (0 - 2.5),A,0,42971,2017,2016,2016,PBH (0 - 2.5),0
ABRP,5,2,5_2,A (0 - 2.5),A,0,42972,2017,2016,2016,PBH (0 - 2.5),0
ABRP,5,3,5_3,A (0 - 2.5),A,0,42976,2017,2016,2016,PBH (0 - 2.5),0
ABRP,5,4,5_4,A (0 - 2.5),A,0,42977,2017,2016,2016,PBH (0 - 2.5),0
ABRP,5,5,5_5,A (0 - 2.5),A,3,42970,2017,2016,2016,PBH (0 - 2.5),3
ABRP,5,6,5_6,A (0 - 2.5),A,0,42971,2017,2016,2016,PBH (0 - 2.5),0
ABRP,5,1,5_1,A (0 - 2.5),A,0,43655,2019,2018,2018,PBH (0 - 2.5),0
ABRP,5,2,5_2,A (0 - 2.5),A,1,43655,2019,2018,2018,PBH (0 - 2.5),1
ABRP,5,3,5_3,A (0 - 2.5),A,0,43656,2019,2018,2018,PBH (0 - 2.5),0
ABRP,5,4,5_4,A (0 - 2.5),A,0,43656,2019,2018,2018,PBH (0 - 2.5),0
ABRP,5,5,5_5,A (0 - 2.5),A,2,43657,2019,2018,2018,PBH (0 - 2.5),2
ABRP,5,6,5_6,A (0 - 2.5),A,4,43657,2019,2018,2018,PBH (0 - 2.5),4
ABRP,7,1,7_1,A (0 - 2.5),A,15,35277,1996,34454,1994,PBH (0 - 2.5),15
ABRP,7,2,7_2,A (0 - 2.5),A,0,35278,1996,34454,1994,PBH (0 - 2.5),0
ABRP,7,3,7_3,A (0 - 2.5),A,0,35279,1996,34454,1994,PBH (0 - 2.5),0
ABRP,7,4,7_4,A (0 - 2.5),A,0,35282,1996,34454,1994,PBH (0 - 2.5),0
ABRP,7,5,7_5,A (0 - 2.5),A,3,35299,1996,34454,1994,PBH (0 - 2.5),3
ABRP,7,6,7_6,A (0 - 2.5),A,0,35282,1996,34454,1994,PBH (0 - 2.5),0
ABRP,7,7,7_7,A (0 - 2.5),A,0,35284,1996,34454,1994,PBH (0 - 2.5),0
ABRP,7,8,7_8,A (0 - 2.5),A,0,35285,1996,34454,1994,PBH (0 - 2.5),0
ABRP,7,1,7_1,A (0 - 2.5),A,4,37112,2001,36567,2000,PBH (0 - 2.5),4
ABRP,7,2,7_2,A (0 - 2.5),A,0,37110,2001,36567,2000,PBH (0 - 2.5),0
ABRP,7,3,7_3,A (0 - 2.5),A,2,37110,2001,36567,2000,PBH (0 - 2.5),2
ABRP,7,4,7_4,A (0 - 2.5),A,0,37113,2001,36567,2000,PBH (0 - 2.5),0
ABRP,7,5,7_5,A (0 - 2.5),A,0,37112,2001,36567,2000,PBH (0 - 2.5),0
