PRES,BU,PLOT,BP,SIZE,STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,SIZE_MONYEAR
ABRP,1,1,1_1,A,1,8/16/2001,2001,5/9/1996,1996,2001_A
ABRP,1,1,1_1,B,0,8/16/2001,2001,5/9/1996,1996,2001_B
ABRP,1,1,1_1,C,1,8/16/2001,2001,5/9/1996,1996,2001_C
ABRP,1,1,1_1,D,1,8/16/2001,2001,5/9/1996,1996,2001_D
ABRP,1,1,1_1,E,0,8/16/2001,2001,5/9/1996,1996,2001_E
ABRP,1,1,1_1,F,0,8/16/2001,2001,5/9/1996,1996,2001_F
ABRP,1,1,1_1,G,0,8/16/2001,2001,5/9/1996,1996,2001_G
ABRP,1,1,1_1,H,0,8/16/2001,2001,5/9/1996,1996,2001_H
ABRP,1,1,1_1,I,0,8/16/2001,2001,5/9/1996,1996,2001_I
ABRP,1,1,1_1,J,0,8/16/2001,2001,5/9/1996,1996,2001_J
ABRP,1,2,1_2,A,0,8/17/2001,2001,5/9/1996,1996,2001_A
ABRP,1,2,1_2,B,0,8/17/2001,2001,5/9/1996,1996,2001_B
ABRP,1,2,1_2,C,2,8/17/2001,2001,5/9/1996,1996,2001_C
ABRP,1,2,1_2,D,0,8/17/2001,2001,5/9/1996,1996,2001_D
ABRP,1,2,1_2,E,0,8/17/2001,2001,5/9/1996,1996,2001_E
ABRP,1,2,1_2,F,0,8/17/2001,2001,5/9/1996,1996,2001_F
ABRP,1,2,1_2,G,0,8/17/2001,2001,5/9/1996,1996,2001_G
ABRP,1,2,1_2,H,0,8/17/2001,2001,5/9/1996,1996,2001_H
ABRP,1,2,1_2,I,0,8/17/2001,2001,5/9/1996,1996,2001_I
ABRP,1,2,1_2,J,0,8/17/2001,2001,5/9/1996,1996,2001_J
ABRP,1,3,1_3,A,0,8/17/2001,2001,5/9/1996,1996,2001_A
ABRP,1,3,1_3,B,1,8/17/2001,2001,5/9/1996,1996,2001_B
ABRP,1,3,1_3,C,1,8/17/2001,2001,5/9/1996,1996,2001_C
ABRP,1,3,1_3,D,0,8/17/2001,2001,5/9/1996,1996,2001_D
ABRP,1,3,1_3,E,0,8/17/2001,2001,5/9/1996,1996,2001_E
ABRP,1,3,1_3,F,0,8/17/2001,2001,5/9/1996,1996,2001_F
ABRP,1,3,1_3,G,0,8/17/2001,2001,5/9/1996,1996,2001_G
ABRP,1,3,1_3,H,0,8/17/2001,2001,5/9/1996,1996,2001_H
ABRP,1,3,1_3,I,0,8/17/2001,2001,5/9/1996,1996,2001_I
ABRP,1,3,1_3,J,0,8/17/2001,2001,5/9/1996,1996,2001_J
ABRP,1,4,1_4,A,0,8/21/2001,2001,5/9/1996,1996,2001_A
ABRP,1,4,1_4,B,0,8/21/2001,2001,5/9/1996,1996,2001_B
ABRP,1,4,1_4,C,3,8/21/2001,2001,5/9/1996,1996,2001_C
ABRP,1,4,1_4,D,1,8/21/2001,2001,5/9/1996,1996,2001_D
ABRP,1,4,1_4,E,0,8/21/2001,2001,5/9/1996,1996,2001_E
ABRP,1,4,1_4,F,0,8/21/2001,2001,5/9/1996,1996,2001_F
ABRP,1,4,1_4,G,0,8/21/2001,2001,5/9/1996,1996,2001_G
ABRP,1,4,1_4,H,0,8/21/2001,2001,5/9/1996,1996,2001_H
ABRP,1,4,1_4,I,0,8/21/2001,2001,5/9/1996,1996,2001_I
ABRP,1,4,1_4,J,0,8/21/2001,2001,5/9/1996,1996,2001_J
ABRP,1,5,1_5,A,0,8/21/2001,2001,5/9/1996,1996,2001_A
ABRP,1,5,1_5,B,0,8/21/2001,2001,5/9/1996,1996,2001_B
ABRP,1,5,1_5,C,2,8/21/2001,2001,5/9/1996,1996,2001_C
ABRP,1,5,1_5,D,1,8/21/2001,2001,5/9/1996,1996,2001_D
ABRP,1,5,1_5,E,0,8/21/2001,2001,5/9/1996,1996,2001_E
ABRP,1,5,1_5,F,0,8/21/2001,2001,5/9/1996,1996,2001_F
ABRP,1,5,1_5,G,0,8/21/2001,2001,5/9/1996,1996,2001_G
ABRP,1,5,1_5,H,0,8/21/2001,2001,5/9/1996,1996,2001_H
ABRP,1,5,1_5,I,0,8/21/2001,2001,5/9/1996,1996,2001_I
ABRP,1,5,1_5,J,0,8/21/2001,2001,5/9/1996,1996,2001_J
ABRP,1,6,1_6,A,0,8/22/2001,2001,5/9/1996,1996,2001_A
ABRP,1,6,1_6,B,0,8/22/2001,2001,5/9/1996,1996,2001_B
ABRP,1,6,1_6,C,1,8/22/2001,2001,5/9/1996,1996,2001_C
ABRP,1,6,1_6,D,1,8/22/2001,2001,5/9/1996,1996,2001_D
ABRP,1,6,1_6,E,1,8/22/2001,2001,5/9/1996,1996,2001_E
ABRP,1,6,1_6,F,1,8/22/2001,2001,5/9/1996,1996,2001_F
ABRP,1,6,1_6,G,0,8/22/2001,2001,5/9/1996,1996,2001_G
ABRP,1,6,1_6,H,0,8/22/2001,2001,5/9/1996,1996,2001_H
ABRP,1,6,1_6,I,0,8/22/2001,2001,5/9/1996,1996,2001_I
ABRP,1,6,1_6,J,0,8/22/2001,2001,5/9/1996,1996,2001_J
ABRP,1,7,1_7,A,0,8/22/2001,2001,5/9/1996,1996,2001_A
ABRP,1,7,1_7,B,1,8/22/2001,2001,5/9/1996,1996,2001_B
ABRP,1,7,1_7,C,6,8/22/2001,2001,5/9/1996,1996,2001_C
ABRP,1,7,1_7,D,0,8/22/2001,2001,5/9/1996,1996,2001_D
ABRP,1,7,1_7,E,0,8/22/2001,2001,5/9/1996,1996,2001_E
ABRP,1,7,1_7,F,0,8/22/2001,2001,5/9/1996,1996,2001_F
ABRP,1,7,1_7,G,0,8/22/2001,2001,5/9/1996,1996,2001_G
ABRP,1,7,1_7,H,0,8/22/2001,2001,5/9/1996,1996,2001_H
ABRP,1,7,1_7,I,0,8/22/2001,2001,5/9/1996,1996,2001_I
ABRP,1,7,1_7,J,0,8/22/2001,2001,5/9/1996,1996,2001_J
ABRP,1,8,1_8,A,0,8/22/2001,2001,5/9/1996,1996,2001_A
ABRP,1,8,1_8,B,2,8/22/2001,2001,5/9/1996,1996,2001_B
ABRP,1,8,1_8,C,2,8/22/2001,2001,5/9/1996,1996,2001_C
ABRP,1,8,1_8,D,0,8/22/2001,2001,5/9/1996,1996,2001_D
ABRP,1,8,1_8,E,0,8/22/2001,2001,5/9/1996,1996,2001_E
ABRP,1,8,1_8,F,0,8/22/2001,2001,5/9/1996,1996,2001_F
ABRP,1,8,1_8,G,0,8/22/2001,2001,5/9/1996,1996,2001_G
ABRP,1,8,1_8,H,0,8/22/2001,2001,5/9/1996,1996,2001_H
