BU,SIZE,MON_YEAR,AVERAGE_STEMS
5,A,1995,0
5,A,1997,1
5,A,2000,3.5
5,A,2003,0.5
5,A,2005,9.833333333
5,A,2009,2
5,A,2011,1.333333333
5,A,2015,0.166666667
5,A,2017,0.5
5,A,2019,1.166666667
5,B,1995,0
5,B,1997,0.833333333
5,B,2000,5.833333333
5,B,2003,13.83333333
5,B,2005,12.83333333
5,B,2009,33.33333333
5,B,2011,49.16666667
5,B,2015,37.66666667
5,B,2017,38.16666667
5,B,2019,29.83333333
5,C,1995,1
5,C,1997,0.5
5,C,2000,1.5
5,C,2003,5.666666667
5,C,2005,14
5,C,2009,21.66666667
5,C,2011,26.33333333
5,C,2015,43.16666667
5,C,2017,45
5,C,2019,47.66666667
5,D,1995,0.666666667
5,D,1997,0.666666667
5,D,2000,0.666666667
5,D,2003,1
5,D,2005,1.333333333
5,D,2009,2
5,D,2011,2.833333333
5,D,2015,5.833333333
5,D,2017,8.333333333
5,D,2019,11
5,E,1995,0.5
5,E,1997,0.5
5,E,2000,0.5
5,E,2003,0.333333333
5,E,2005,0.5
5,E,2009,0.666666667
5,E,2011,1.166666667
5,E,2015,1.666666667
5,E,2017,1.333333333
5,E,2019,2.833333333
5,F,1995,2
5,F,1997,1.333333333
5,F,2000,1.333333333
5,F,2003,1.833333333
5,F,2005,1.166666667
5,F,2009,0.5
5,F,2011,0.5
5,F,2015,0.666666667
5,F,2017,0.833333333
5,F,2019,0.666666667
5,G,1995,1
5,G,1997,2
5,G,2000,1.666666667
5,G,2003,1.666666667
5,G,2005,2.166666667
5,G,2009,2.5
5,G,2011,2.666666667
5,G,2015,2.5
5,G,2017,2.333333333
5,G,2019,1.666666667
5,H,1995,0.666666667
5,H,1997,0.333333333
5,H,2000,1
5,H,2003,0.666666667
5,H,2005,0.666666667
5,H,2009,0.833333333
5,H,2011,0.833333333
5,H,2015,1.333333333
5,H,2017,1.5
5,H,2019,1.5
5,I,1995,0.166666667
5,I,1997,3.5
5,I,2000,0.166666667
5,I,2003,0.333333333
5,I,2005,0.5
5,I,2009,0.333333333
5,I,2011,0.333333333
5,I,2015,0.333333333
5,I,2017,0.333333333
5,I,2019,0.333333333
5,J,1995,0.333333333
5,J,1997,0.333333333
5,J,2000,0.333333333
5,J,2003,0.333333333
5,J,2005,0.333333333
5,J,2009,0.5
5,J,2011,0.5
5,J,2015,0.5
5,J,2017,0.5
5,J,2019,0.333333333
5,SEEDLING,1995,2.166666667
5,SEEDLING,1997,2.666666667
5,SEEDLING,2000,2.5
5,SEEDLING,2003,2.833333333
5,SEEDLING,2005,2.5
5,SEEDLING,2009,2.833333333
5,SEEDLING,2011,2.5
5,SEEDLING,2015,18
5,SEEDLING,2017,11
5,SEEDLING,2019,5.666666667
